,fips,county,state,lat,long,population,clusters_10,clusters_9,clusters_8,clusters_7,clusters_6,clusters_5,clusters_4,clusters_3,clusters_2,clusters_20,clusters_19,clusters_18,clusters_17,clusters_16,clusters_15,clusters_14,clusters_13,clusters_12,clusters_11
0,01001,Autauga,Alabama,32.53952745,-86.64408227,55869,10,1,2,7,2,4,3,1,2,10,8,17,17,7,12,3,8,1,3
1,01003,Baldwin,Alabama,30.72774991,-87.72207058,223234,10,1,2,7,2,4,3,1,2,7,8,17,3,6,5,12,8,6,3
2,01005,Barbour,Alabama,31.868263,-85.3871286,24686,4,1,4,7,2,4,3,1,2,7,10,10,16,2,3,10,4,1,3
3,01007,Bibb,Alabama,32.99642064,-87.1251146,22394,4,1,4,1,2,4,3,1,2,10,8,17,17,7,12,3,8,1,3
4,01009,Blount,Alabama,33.98210918,-86.56790593,57826,10,6,2,7,2,4,3,1,2,18,17,18,3,6,5,12,8,6,6
5,01011,Bullock,Alabama,32.10030533,-85.71265535,10101,4,1,4,1,6,1,4,3,1,6,12,14,16,2,3,10,4,8,11
6,01013,Butler,Alabama,31.75300095,-86.68057478,19448,4,1,4,7,2,4,3,1,2,7,10,10,7,7,12,3,4,1,3
7,01015,Calhoun,Alabama,33.77483727,-85.82630386,113605,10,6,2,7,2,4,3,1,2,4,17,18,3,6,5,12,8,6,10
8,01017,Chambers,Alabama,32.91360079,-85.39072749,33254,10,1,2,7,2,4,3,1,2,7,10,10,16,6,5,12,4,6,3
9,01019,Cherokee,Alabama,34.17805983,-85.60638968,26196,9,4,3,1,4,5,2,1,1,19,19,6,15,9,9,6,12,4,2
10,01021,Chilton,Alabama,32.85044126,-86.7173256,44428,9,4,4,1,4,5,3,1,1,2,16,6,2,9,9,6,12,4,2
11,01023,Choctaw,Alabama,32.02227341,-88.2656443,12589,1,7,8,3,5,3,2,3,1,3,4,8,12,14,1,9,6,5,9
12,01025,Clarke,Alabama,31.68099859,-87.83548597,23622,4,1,4,1,2,4,3,1,2,2,8,17,17,7,12,3,12,1,3
