county1,mi_to_county,county2
1001,22.4629943,1021
1001,26.84468657,1085
1001,29.51758494,1051
1001,30.77637084,1047
1001,34.49344273,1101
1003,24.41967079,12033
1003,26.82936348,1097
1003,46.84345244,1053
1003,58.29334208,1129
1003,67.163289,1099
1003,71.04028051,1025
1005,23.25404022,13239
1005,24.265804,1011
1005,26.30308716,1067
1005,29.81400169,13061
1005,31.65854296,1113
1005,31.88466086,1109
1005,32.68465149,1045
1005,36.25132911,13259
1007,25.77724567,1021
1007,27.78045086,1105
1007,29.71829199,1125
1007,31.08495343,1117
1007,34.03514636,1065
1007,39.45736105,1073
1009,20.318,1043
1009,23.2889475,1115
1009,26.90302623,1095
1009,30.8991956,1055
1009,34.87090098,1073
1009,44.0079555,1127
1011,19.76150075,1087
1011,24.73802378,1109
1011,29.32038916,1101
1011,33.61741464,1113
1013,21.3542073,1041
1013,27.43798217,1085
1013,28.84821086,1035
1013,37.67278001,1039
1013,39.95490006,1131
1013,42.9063949,1099
1015,18.90851784,1029
1015,22.60806585,1055
1015,22.72611553,1019
1015,28.62269928,1115
1015,34.44968095,1121
1017,21.80358161,1081
1017,22.55284237,13285
1017,23.95503529,1123
1017,26.48625048,1111
1017,30.6684952,13145
1019,21.81438945,1055
1019,27.24191842,13233
1019,28.36371378,1049
1019,28.53363806,13115
1019,28.58722864,1029
1019,33.05919182,13055
1021,28.39007259,1117
1021,28.53597383,1037
1021,36.15562048,1105
1021,38.29824688,1051
1021,42.46003618,1047
1023,25.91047025,28023
1023,32.1240527,1091
1023,32.91415374,1025
1023,34.91548023,28153
1023,37.32647197,28075
1023,40.4465991,1129
1023,42.00016803,1119
1025,26.62244244,1099
1025,29.66808435,1129
1025,36.91051374,1131
1025,38.86880424,1091
1027,19.42433196,1121
1027,23.07287297,1111
1027,28.17739036,1123
1027,32.05519301,1037
1027,34.3130889,1029
1029,19.02127303,13143
1029,25.81527972,13045
1029,26.1176826,1111
1029,29.29557185,13233
1029,43.37522232,1121
1031,22.47649204,1045
1031,23.61159232,1061
1031,27.53893994,1109
1031,29.2417732,1039
1031,29.98913099,1041
1033,16.30197942,1077
1033,18.19467826,1059
1033,24.79720781,28141
1033,29.78443431,1079
1035,23.60325676,1053
1035,25.32851033,1099
1035,34.49937818,1039
1037,23.82241793,1051
1037,26.17997205,1123
1037,30.50354827,1121
1037,34.02145832,1117
1039,34.62653802,1041
1039,38.39930778,1061
1039,40.86427289,12091
1039,43.37263422,1053
1039,45.30576739,12131
1041,22.62254699,1109
1041,33.22653585,1101
1041,34.63958869,1085
1043,22.3250298,1103
1043,28.34749288,1133
1043,33.6066509,1095
1043,34.13776433,1127
1043,37.71616466,1079
1045,22.57636979,1067
1045,26.38297779,1069
1045,26.68750353,1061
1045,32.08663282,1109
1047,23.55538562,1105
1047,26.13531123,1131
1047,29.98493558,1085
1047,39.97031436,1091
1049,23.1159228,1071
1049,26.14543885,13055
1049,31.31574611,1095
1049,31.44196531,1055
1049,31.90815478,13083
1049,34.13098497,13295
1051,27.12966101,1123
