county1,mi_to_county,county2,county_combined
01001,22.4629943022086,01021,0100101021
01001,26.8446865669988,01085,0100101085
01001,29.5175849409829,01051,0100101051
01001,30.7763708418057,01047,0100101047
01001,34.4934427264388,01101,0100101101
01003,24.4196707914188,12033,0100312033
01003,26.8293634811526,01097,0100301097
01003,46.8434524375758,01053,0100301053
01003,58.2933420813053,01129,0100301129
01003,67.1632889993598,01099,0100301099
01003,71.0402805115564,01025,0100301025
01005,23.2540402214032,13239,0100513239
01005,24.265803995344,01011,0100501011
01005,26.3030871615297,01067,0100501067
01005,29.8140016862639,13061,0100513061
01005,31.6585429558017,01113,0100501113
01005,31.8846608606856,01109,0100501109
01005,32.6846514865081,01045,0100501045
01005,36.2513291082218,13259,0100513259
01007,25.7772456716359,01021,0100701021
01007,27.780450862951,01105,0100701105
01007,29.7182919927348,01125,0100701125
01007,31.084953431962,01117,0100701117
01007,34.0351463644372,01065,0100701065
01007,39.4573610483597,01073,0100701073
01009,20.3179999953674,01043,0100901043
01009,23.2889475047344,01115,0100901115
01009,26.9030262263712,01095,0100901095
01009,30.8991955975248,01055,0100901055
01009,34.8709009811902,01073,0100901073
01009,44.0079555008206,01127,0100901127
01011,19.7615007504866,01087,0101101087
01011,24.7380237775906,01109,0101101109
01011,29.3203891583831,01101,0101101101
01011,33.6174146362299,01113,0101101113
01013,21.3542073020331,01041,0101301041
01013,27.4379821668627,01085,0101301085
01013,28.848210864084,01035,0101301035
01013,37.6727800063546,01039,0101301039
01013,39.9549000648494,01131,0101301131
01013,42.9063949013731,01099,0101301099
01015,18.9085178365011,01029,0101501029
01015,22.6080658514978,01055,0101501055
01015,22.726115528093,01019,0101501019
01015,28.6226992750482,01115,0101501115
01015,34.4496809487352,01121,0101501121
01017,21.8035816103321,01081,0101701081
01017,22.5528423654088,13285,0101713285
01017,23.9550352898759,01123,0101701123
01017,26.4862504781202,01111,0101701111
01017,30.6684951983705,13145,0101713145
01019,21.8143894536734,01055,0101901055
01019,27.2419184159656,13233,0101913233
01019,28.3637137769966,01049,0101901049
01019,28.5336380616731,13115,0101913115
01019,28.5872286416356,01029,0101901029
01019,33.0591918160405,13055,0101913055
01021,28.3900725863567,01117,0102101117
01021,28.5359738300759,01037,0102101037
01021,36.1556204823439,01105,0102101105
01021,38.2982468809862,01051,0102101051
01021,42.4600361813578,01047,0102101047
01023,25.9104702480396,28023,0102328023
01023,32.1240526969942,01091,0102301091
01023,32.9141537358964,01025,0102301025
01023,34.9154802275319,28153,0102328153
01023,37.326471969516,28075,0102328075
01023,40.4465990959838,01129,0102301129
01023,42.0001680254231,01119,0102301119
01025,26.6224424445785,01099,0102501099
01025,29.6680843495214,01129,0102501129
01025,36.9105137445086,01131,0102501131
01025,38.868804235937,01091,0102501091
01027,19.4243319609385,01121,0102701121
01027,23.072872966764,01111,0102701111
01027,28.1773903571763,01123,0102701123
01027,32.0551930103773,01037,0102701037
01027,34.3130888991216,01029,0102701029
01029,19.0212730325183,13143,0102913143
01029,25.8152797159047,13045,0102913045
01029,26.1176825997448,01111,0102901111
01029,29.295571851124,13233,0102913233
01029,43.3752223225209,01121,0102901121
01031,22.4764920417836,01045,0103101045
01031,23.6115923225351,01061,0103101061
01031,27.5389399448077,01109,0103101109
01031,29.241773195851,01039,0103101039
01031,29.9891309906628,01041,0103101041
01033,16.3019794168968,01077,0103301077
01033,18.1946782565141,01059,0103301059
01033,24.7972078065296,28141,0103328141
01033,29.7844343126692,01079,0103301079
01035,23.6032567563357,01053,0103501053
01035,25.3285103312712,01099,0103501099
01035,34.4993781786245,01039,0103501039
01037,23.8224179254327,01051,0103701051
01037,26.1799720451891,01123,0103701123
01037,30.5035482723926,01121,0103701121
01037,34.0214583197097,01117,0103701117
01039,34.6265380217063,01041,0103901041
01039,38.3993077793546,01061,0103901061
01039,40.864272892533,12091,0103912091
01039,43.3726342168311,01053,0103901053
01039,45.3057673921581,12131,0103912131
01041,22.6225469912079,01109,0104101109
01041,33.2265358462904,01101,0104101101
01041,34.6395886894046,01085,0104101085
01043,22.3250298049966,01103,0104301103
01043,28.3474928795087,01133,0104301133
01043,33.6066509016736,01095,0104301095
01043,34.137764328516,01127,0104301127
01043,37.7161646571649,01079,0104301079
01045,22.5763697924097,01067,0104501067
01045,26.3829777926245,01069,0104501069
01045,26.687503533661,01061,0104501061
01045,32.0866328185063,01109,0104501109
01047,23.5553856249603,01105,0104701105
01047,26.1353112331823,01131,0104701131
01047,29.9849355813426,01085,0104701085
01047,39.9703143610473,01091,0104701091
01049,23.115922798286,01071,0104901071
01049,26.145438845818,13055,0104913055
01049,31.3157461055316,01095,0104901095
01049,31.4419653097576,01055,0104901055
01049,31.9081547781809,13083,0104913083
01049,34.1309849712278,13295,0104913295
01051,27.1296610063499,01123,0105101123
01051,27.4261655393413,01101,0105101101
01051,29.9704599543137,01087,0105101087
01053,30.3000900215329,12113,0105312113
01053,34.1268420320957,01099,0105301099
01053,36.66707659505,12033,0105312033
01053,46.3825114414841,12091,0105312091
01055,24.4356502769024,01095,0105501095
01055,28.1951581014745,01115,0105501115
01057,19.6342334028695,01075,0105701075
01057,26.2256773819941,01127,0105701127
01057,29.0156179186129,01093,0105701093
01057,33.2740739246176,01125,0105701125
01057,36.0521054277265,01107,0105701107
01059,21.1045714473842,01093,0105901093
01059,30.2823739432212,01079,0105901079
01059,30.2950212280159,28141,0105928141
01059,31.690773936396,28057,0105928057
01059,33.7227947569688,01133,0105901133
01061,15.5360800357514,12059,0106112059
01061,31.5711701655655,01069,0106101069
01061,38.0153250348149,12131,0106112131
01061,41.9800849044232,12063,0106112063
01063,20.8012610954668,01065,0106301065
01063,21.8918569810766,01119,0106301119
01063,32.1820485932165,01107,0106301107
01063,40.0172491376371,01125,0106301125
01063,42.4566821918007,01091,0106301091
01065,20.6950436765237,01105,0106501105
01065,36.2535652462863,01091,0106501091
01065,37.5821998736255,01125,0106501125
01067,16.2047747141361,13061,0106713061
01067,23.7383597720073,13099,0106713099
01067,25.0123053691518,01069,0106701069
01069,25.7187344993869,13099,0106913099
01069,26.0933286631496,12063,0106912063
01069,29.7404989956458,13253,0106913253
01071,27.4279863668913,13083,0107113083
01071,27.9759949970898,47051,0107147051
01071,32.5625152119117,01089,0107101089
01071,32.6581616039885,47115,0107147115
01071,36.9829346172142,01095,0107101095
01073,23.698326087011,01117,0107301117
01073,28.4927117324373,01127,0107301127
01073,35.1866208308243,01115,0107301115
01073,40.4397155531146,01125,0107301125
01075,23.9013532925614,28095,0107528095
01075,26.9776488502217,01093,0107501093
01075,29.7731387130812,28087,0107528087
01075,33.8792153238484,01107,0107501107
01077,25.2630429855754,47181,0107747181
01077,26.169700687907,47099,0107747099
01077,31.9122326213595,01079,0107701079
01077,35.1216915945166,28141,0107728141
01077,36.5777902984517,47071,0107747071
01077,38.5139553064442,01083,0107701083
01077,40.4759673956952,47055,0107747055
01079,25.9454999012804,01133,0107901133
01079,27.3827844684485,01083,0107901083
01079,27.5713730705377,01103,0107901103
01081,23.7740187153545,01113,0108101113
01081,24.8412205628477,01087,0108101087
01081,27.0993133149874,13145,0108113145
01081,28.5879413772638,13215,0108113215
01081,31.5349965269664,01123,0108101123
01083,24.6243017568484,01089,0108301089
01083,25.7505299835529,01103,0108301103
01083,27.2891758532205,47055,0108347055
01083,31.7753330263995,47103,0108347103
01085,26.4095993598178,01101,0108501101
01085,39.6751035145396,01131,0108501131
01087,30.2876041906272,01113,0108701113
01087,32.4199221466373,01101,0108701101
01087,33.4922899057711,01123,0108701123
01089,26.2472039592609,47103,0108947103
01089,27.2043675951142,01103,0108901103
01089,34.0204294414294,01095,0108901095
01089,37.2442656403259,47051,0108947051
01091,33.6810187001012,01131,0109101131
01091,33.9610126434769,01119,0109101119
01091,39.6496636861266,01105,0109101105
01093,29.2335297573418,28057,0109328057
01093,29.6111324449285,01133,0109301133
01093,38.5827130529504,28095,0109328095
01093,40.9886492013087,01127,0109301127
01095,31.5523321032455,01103,0109501103
01097,28.9737779425264,28039,0109728039
01097,29.6393181065963,28059,0109728059
01097,44.7952867507627,28041,0109728041
01097,49.9141310983228,01129,0109701129
01099,28.7253281077457,01131,0109901131
01101,31.9078932788872,01109,0110101109
01107,23.1688260541814,28087,0110728087
01107,30.1369208031545,28103,0110728103
01107,33.1543783867809,01125,0110701125
01107,48.687785256311,01119,0110701119
01111,18.7431754941929,13149,0111113149
01111,29.6452118636221,13045,0111113045
01111,31.0279531952178,13285,0111113285
01111,35.6752231803127,01123,0111101123
01113,23.6330958264423,13053,0111313053
01113,23.7323427339199,13215,0111313215
01113,25.4522659438761,13259,0111313259
01115,25.075090701027,01121,0111501121
01115,37.4568305879,01117,0111501117
01117,29.9180075759286,01121,0111701121
01119,26.9048873094508,28069,0111928069
01119,29.974248927024,28075,0111928075
01119,41.0662086292252,28103,0111928103
01125,36.9204783021249,01127,0112501127
01127,25.4298392446181,01133,0112701133
01129,28.852036275806,28041,0112928041
01129,32.6961182386297,28153,0112928153
04001,46.5935085782641,04017,0400104017
04001,70.8781202323511,35031,0400135031
04001,90.0008638553456,35006,0400135006
