fips,state,lat,long,population
1,Alabama,32.3182,-86.9023,4903185
4,Arizona,33.7298,-111.4312,7278717
5,Arkansas,34.9697,-92.3731,3017804
6,California,36.1162,-119.6816,39512223
8,Colorado,39.0598,-105.3111,5758736
9,Connecticut,41.5978,-72.7554,3565287
10,Delaware,39.3185,-75.5071,973764
11,District of Columbia,38.8974,-77.0268,705749
12,Florida,27.7663,-81.6868,21477737
13,Georgia,33.0406,-83.6431,10617423
16,Idaho,44.2405,-114.4788,1787065
17,Illinois,40.3495,-88.9861,12671821
18,Indiana,39.8494,-86.2583,6732219
19,Iowa,42.0115,-93.2105,3155070
20,Kansas,38.5266,-96.7265,2913314
21,Kentucky,37.6681,-84.6701,4467673
22,Louisiana,31.1695,-91.8678,4648794
23,Maine,44.6939,-69.3819,1344212
24,Maryland,39.0639,-76.8021,6045680
25,Massachusetts,42.2302,-71.5301,6892503
26,Michigan,43.3266,-84.5361,9986857
27,Minnesota,45.6945,-93.9002,5639632
28,Mississippi,32.7416,-89.6787,2976149
29,Missouri,38.4561,-92.2884,6137428
30,Montana,46.9219,-110.4544,1068778
31,Nebraska,41.1254,-98.2681,1934408
32,Nevada,38.3135,-117.0554,3080156
33,New Hampshire,43.4525,-71.5639,1359711
34,New Jersey,40.2989,-74.521,8882190
35,New Mexico,34.8405,-106.2485,2096829
36,New York,42.1657,-74.9481,19453561
37,North Carolina,35.6301,-79.8064,10488084
38,North Dakota,47.5289,-99.784,762062
39,Ohio,40.3888,-82.7649,11689100
40,Oklahoma,35.5653,-96.9289,3956971
41,Oregon,44.572,-122.0709,4217737
42,Pennsylvania,40.5908,-77.2098,12801989
44,Rhode Island,41.6809,-71.5118,1059361
45,South Carolina,33.8569,-80.945,5148714
46,South Dakota,44.2998,-99.4388,884659
47,Tennessee,35.7478,-86.6923,6829174
48,Texas,31.0545,-97.5635,28995881
49,Utah,40.15,-111.8624,3205958
50,Vermont,44.0459,-72.7107,623989
51,Virginia,37.7693,-78.17,8535519
53,Washington,47.4009,-121.4905,7614893
54,West Virginia,38.4912,-80.9545,1792147
55,Wisconsin,44.2685,-89.6165,5822434
56,Wyoming,42.756,-107.3025,578759
