county_name,county_state,county_fips,bcounty_name,bcounty_state,bcounty_fips,county_combined,gc_dist_km,d_dist_km,duration_min
Clinton County, PA,42035,Potter County, PA,42105,4203542105,59.5,99.9,95
Duval County, TX,48131,Jim Hogg County, TX,48247,4813148247,73.9,99.9,82
Jefferson Parish, LA,22051,St. Tammany Parish, LA,22103,2205122103,101.1,99.8,72
Cottle County, TX,48101,Dickens County, TX,48125,4810148125,70.9,99.8,59
Pend Oreille County, WA,53051,Stevens County, WA,53065,5305153065,49.0,99.8,83
Banner County, NE,31007,Cheyenne County, NE,31033,3100731033,69.7,99.7,61
Cavalier County, ND,38019,Walsh County, ND,38099,3801938099,69.8,99.7,67
Baraga County, MI,26013,Iron County, MI,26071,2601326071,60.2,99.6,78
Emmons County, ND,38029,McIntosh County, ND,38051,3802938051,63.9,99.6,75
Harding County, SD,46063,Perkins County, SD,46105,4606346105,79.3,99.6,64
Antrim County, MI,26009,Leelanau County, MI,26089,2600926089,70.5,99.5,86
Musselshell County, MT,30065,Yellowstone County, MT,30111,3006530111,64.4,99.5,64
Hockley County, TX,48219,Lynn County, TX,48305,4821948305,68.1,99.5,62
Island County, WA,53029,Snohomish County, WA,53061,5302953061,68.1,99.5,103
Columbia County, WI,55021,Juneau County, WI,55057,5502155057,81.2,99.5,62
Sargent County, ND,38081,Roberts County, SD,46109,3808146109,75.5,99.4,65
Jones County, TX,48253,Nolan County, TX,48353,4825348353,70.0,99.4,66
Franklin County, PA,42055,Huntingdon County, PA,42061,4205542061,58.9,99.3,82
Glacier County, MT,30035,Pondera County, MT,30073,3003530073,77.6,99.2,72
Foard County, TX,48155,King County, TX,48269,4815548269,59.7,99.2,68
Archuleta County, CO,8007,La Plata County, CO,8067,800708067,70.5,99.1,75
St. Mary's County, MD,24037,Westmoreland County, VA,51193,2403751193,26.8,99.1,81
Carson County, TX,48065,Donley County, TX,48129,4806548129,70.1,99.1,63
Menard County, TX,48327,Schleicher County, TX,48413,4832748413,64.2,99.1,60
Ashley County, AR,5003,Union Parish, LA,22111,500322111,69.1,99.0,77
Natchitoches Parish, LA,22069,Rapides Parish, LA,22079,2206922079,79.7,99.0,67
Todd County, MN,27111,Todd County, MN,27153,2711127153,73.1,99.0,72
Utah County, UT,49049,Wasatch County, UT,49051,4904949051,49.2,99.0,95
Franklin County, WA,53021,Walla Walla County, WA,53071,5302153071,45.2,99.0,63
Butler County, AL,1013,Monroe County, AL,1099,101301099,69.1,98.9,72
Garfield County, CO,8045,Rio Blanco County, CO,8103,804508103,48.4,98.9,108
Bonneville County, ID,16019,Jefferson County, ID,16051,1601916051,71.7,98.9,97
Anne Arundel County, MD,24003,Kent County, MD,24029,2400324029,46.5,98.9,67
Dawson County, MT,30021,Richland County, MT,30083,3002130083,62.4,98.9,62
Deuel County, NE,31049,Perkins County, NE,31135,3104931135,65.0,98.9,59
Hettinger County, ND,38041,Slope County, ND,38087,3804138087,76.9,98.9,72
Calhoun County, TX,48057,Matagorda County, TX,48321,4805748321,68.4,98.9,75
Conway County, AR,5029,Yell County, AR,5149,502905149,71.9,98.8,77
McIntosh County, ND,38051,Campbell County, SD,46021,3805146021,58.6,98.8,71
Monroe County, PA,42089,Wayne County, PA,42127,4208942127,65.7,98.8,69
Coleman County, TX,48083,Taylor County, TX,48441,4808348441,66.7,98.8,66
Gray County, TX,48179,Hemphill County, TX,48211,4817948211,66.3,98.8,72
Portage County, WI,55097,Shawano County, WI,55115,5509755115,68.3,98.8,66
Newaygo County, MI,26123,Osceola County, MI,26133,2612326133,61.3,98.7,74
Benton County, OR,41003,Lane County, OR,41039,4100341039,75.4,98.7,72
Dauphin County, PA,42043,Northumberland County, PA,42097,4204342097,49.3,98.7,80
Summit County, UT,49043,Uinta County, WY,56041,4904356041,57.3,98.7,105
New Haven County, CT,9009,Suffolk County, NY,36103,900936103,48.4,98.6,141
Adams County, ND,38001,Bowman County, ND,38011,3800138011,75.1,98.6,75
Carson County, TX,48065,Moore County, TX,48341,4806548341,68.0,98.6,64
Avoyelles Parish, LA,22009,La Salle Parish, LA,22059,2200922059,68.1,98.5,75
Delta County, MI,26041,Marquette County, MI,26103,2604126103,108.3,98.5,76
Storey County, NV,32029,Carson City, NV,32510,3202932510,36.9,98.5,77
Jefferson County, OR,41031,Wasco County, OR,41065,4103141065,57.9,98.5,72
Blaine County, ID,16013,Camas County, ID,16025,1601316025,69.0,98.4,71
Slope County, ND,38087,Stark County, ND,38089,3808738089,73.7,98.4,72
Crosby County, TX,48107,Lynn County, TX,48305,4810748305,68.0,98.4,64
Rich County, UT,49033,Uinta County, WY,56041,4903356041,68.4,98.4,68
Hot Spring County, AR,5059,Montgomery County, AR,5097,505905097,70.8,98.3,75
Garden County, NE,31069,Keith County, NE,31101,3106931101,77.0,98.3,66
Lyon County, NV,32019,Carson City, NV,32510,3201932510,49.3,98.3,66
