index,fips,county,state,lat,long,population
1172,01001,Autauga,Alabama,32.53952745,-86.64408227,55869.0
1173,01003,Baldwin,Alabama,30.72774991,-87.72207058,223234.0
1174,01005,Barbour,Alabama,31.868263,-85.3871286,24686.0
1175,01007,Bibb,Alabama,32.99642064,-87.1251146,22394.0
1176,01009,Blount,Alabama,33.98210918,-86.56790593,57826.0
1177,01011,Bullock,Alabama,32.10030533,-85.71265535,10101.0
1178,01013,Butler,Alabama,31.75300095,-86.68057478,19448.0
1179,01015,Calhoun,Alabama,33.77483727,-85.82630386,113605.0
1180,01017,Chambers,Alabama,32.91360079,-85.39072749,33254.0
1181,01019,Cherokee,Alabama,34.17805983,-85.60638968,26196.0
1182,01021,Chilton,Alabama,32.85044126,-86.7173256,44428.0
1183,01023,Choctaw,Alabama,32.02227341,-88.2656443,12589.0
1184,01025,Clarke,Alabama,31.68099859,-87.83548597,23622.0
1185,01027,Clay,Alabama,33.26984193,-85.85836077,13235.0
1186,01029,Cleburne,Alabama,33.67679204,-85.52005899,14910.0
1187,01031,Coffee,Alabama,31.39932826,-85.98901039,52342.0
1188,01033,Colbert,Alabama,34.69847452,-87.80168544,55241.0
1189,01035,Conecuh,Alabama,31.43401703,-86.99320044,12067.0
1190,01037,Coosa,Alabama,32.93690146,-86.24847739,10663.0
1191,01039,Covington,Alabama,31.2477854,-86.45050893,37049.0
1192,01041,Crenshaw,Alabama,31.72941803,-86.31593104,13772.0
1193,01043,Cullman,Alabama,34.13020303,-86.86888037,83768.0
1194,01045,Dale,Alabama,31.43037123,-85.61095742,49172.0
1195,01047,Dallas,Alabama,32.32688101,-87.1086671,37196.0
1196,01049,DeKalb,Alabama,34.45946862,-85.80782906,71513.0
1197,01051,Elmore,Alabama,32.59785413,-86.14415284,81209.0
1198,01053,Escambia,Alabama,31.1256789,-87.15918694,36633.0
1199,01055,Etowah,Alabama,34.04567266,-86.04051873,102268.0
1200,01057,Fayette,Alabama,33.72076938,-87.73886638,16302.0
1201,01059,Franklin,Alabama,34.44235334,-87.84289505,31362.0
1202,01061,Geneva,Alabama,31.09389027,-85.83572839,26271.0
